START TRAINING DENOISER AT:  1278929272623
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.35315921902656555
Iter 1: MSE - 19.906475067138672
Iter 2: MSE - 30.75878143310547
Iter 3: MSE - 4.674983024597168
Iter 4: MSE - 0.5085513591766357
Iter 5: MSE - 0.5052951574325562
Iter 6: MSE - 0.49882158637046814
Iter 7: MSE - 0.49650058150291443
Iter 8: MSE - 0.4953375458717346
Iter 9: MSE - 0.5032392144203186
Iter 10: MSE - 0.49822521209716797
Iter 11: MSE - 0.4997979402542114
Iter 12: MSE - 0.5002353191375732
Iter 13: MSE - 0.49991104006767273
Iter 14: MSE - 0.4908542335033417
Iter 15: MSE - 0.500058114528656
Iter 16: MSE - 0.4930882453918457
Iter 17: MSE - 0.49990928173065186
Iter 18: MSE - 0.49567753076553345
Iter 19: MSE - 0.4979448616504669
Iter 20: MSE - 0.49224069714546204
Iter 21: MSE - 0.49779829382896423
Iter 22: MSE - 0.49812251329421997
Iter 23: MSE - 0.496676504611969
Iter 24: MSE - 0.49453005194664
Iter 25: MSE - 0.5010524988174438
Iter 26: MSE - 0.5010436177253723
Iter 27: MSE - 0.49254170060157776
Iter 28: MSE - 0.49186187982559204
Iter 29: MSE - 0.4929859936237335
Iter 30: MSE - 0.4875142574310303
Iter 31: MSE - 0.49167579412460327
Iter 32: MSE - 0.49173080921173096
Iter 33: MSE - 0.4952352046966553
Iter 34: MSE - 0.5007810592651367
Iter 35: MSE - 0.49567529559135437
Iter 36: MSE - 0.49531033635139465
Iter 37: MSE - 0.4960862100124359
Iter 38: MSE - 0.4987286627292633
Iter 39: MSE - 0.4959982633590698
Iter 40: MSE - 0.4902118742465973
Iter 41: MSE - 0.4949384033679962
Iter 42: MSE - 0.498526006937027
Iter 43: MSE - 0.4917389452457428
Iter 44: MSE - 0.4926183521747589
Iter 45: MSE - 0.4926236569881439
Iter 46: MSE - 0.5005370378494263
Iter 47: MSE - 0.49433308839797974
Iter 48: MSE - 0.4943043291568756
Iter 49: MSE - 0.4933180510997772
Iter 50: MSE - 0.4940876066684723
Iter 51: MSE - 0.49358803033828735
Iter 52: MSE - 0.49357515573501587
Iter 53: MSE - 0.5006746053695679
Iter 54: MSE - 0.4948827624320984
Iter 55: MSE - 0.49917760491371155
Iter 56: MSE - 0.49450981616973877
Iter 57: MSE - 0.4953075051307678
Iter 58: MSE - 0.4888392984867096
Iter 59: MSE - 0.4914928078651428
Iter 60: MSE - 0.4911298453807831
Iter 61: MSE - 0.4959314465522766
Iter 62: MSE - 0.4998350739479065
Iter 63: MSE - 0.49625489115715027
Iter 64: MSE - 0.501254141330719
Iter 65: MSE - 0.49569106101989746
Iter 66: MSE - 0.5011529326438904
Iter 67: MSE - 0.49823132157325745
Iter 68: MSE - 0.5006899833679199
Iter 69: MSE - 0.49930641055107117
Iter 70: MSE - 0.4976482093334198
Iter 71: MSE - 0.49489954113960266
Iter 72: MSE - 0.49450474977493286
Iter 73: MSE - 0.5025520324707031
Iter 74: MSE - 0.4959702789783478
Iter 75: MSE - 0.4960978329181671
Iter 76: MSE - 0.4897010028362274
Iter 77: MSE - 0.49325892329216003
Iter 78: MSE - 0.49901074171066284
Iter 79: MSE - 0.4901350736618042
Iter 80: MSE - 0.49987930059432983
Iter 81: MSE - 0.49570199847221375
Iter 82: MSE - 0.5042014718055725
Iter 83: MSE - 0.4959484338760376
Iter 84: MSE - 0.4962327778339386
Iter 85: MSE - 0.5011591911315918
Iter 86: MSE - 0.4986293911933899
Iter 87: MSE - 0.5020526051521301
Iter 88: MSE - 0.4891897737979889
Iter 89: MSE - 0.49004149436950684
Iter 90: MSE - 0.498086154460907
Iter 91: MSE - 0.49138471484184265
Iter 92: MSE - 0.49017608165740967
Iter 93: MSE - 0.49506184458732605
Iter 94: MSE - 0.498974084854126
Iter 95: MSE - 0.4924067556858063
Iter 96: MSE - 0.5029407143592834
Iter 97: MSE - 0.4863113760948181
Iter 98: MSE - 0.5016891956329346
Iter 99: MSE - 0.4944393038749695
Iter 100: MSE - 0.4988895058631897
Iter 101: MSE - 0.4919596314430237
Iter 102: MSE - 0.49974989891052246
Iter 103: MSE - 0.4969771206378937
Iter 104: MSE - 0.4869159460067749
Iter 105: MSE - 0.4969280958175659
Iter 106: MSE - 0.4900217056274414
Iter 107: MSE - 0.49574658274650574
Iter 108: MSE - 0.4946631193161011
Iter 109: MSE - 0.5020043253898621
Iter 110: MSE - 0.499894917011261
Iter 111: MSE - 0.4945486783981323
Iter 112: MSE - 0.49479982256889343
Iter 113: MSE - 0.5018327832221985
Iter 114: MSE - 0.4980418086051941
Iter 115: MSE - 0.5028399229049683
Iter 116: MSE - 0.4882837235927582
Iter 117: MSE - 0.48865053057670593
Iter 118: MSE - 0.49917274713516235
Iter 119: MSE - 0.49548426270484924
Iter 120: MSE - 0.4949510097503662
Iter 121: MSE - 0.49498698115348816
Iter 122: MSE - 0.4910471439361572
Iter 123: MSE - 0.4962173104286194
Iter 124: MSE - 0.49482548236846924
Iter 125: MSE - 0.4974561333656311
Iter 126: MSE - 0.4994264245033264
Iter 127: MSE - 0.4936372637748718
Iter 128: MSE - 0.49913063645362854
Iter 129: MSE - 0.4942997395992279
Iter 130: MSE - 0.4987836480140686
Iter 131: MSE - 0.5020363330841064
Iter 132: MSE - 0.4925945997238159
Iter 133: MSE - 0.49482297897338867
Iter 134: MSE - 0.49861404299736023
Iter 135: MSE - 0.4920317828655243
Iter 136: MSE - 0.4947551190853119
Iter 137: MSE - 0.4888902008533478
Iter 138: MSE - 0.4923517405986786
Iter 139: MSE - 0.495198518037796
Iter 140: MSE - 0.4986647367477417
Iter 141: MSE - 0.4976501762866974
Iter 142: MSE - 0.49771979451179504
Iter 143: MSE - 0.49861976504325867
Iter 144: MSE - 0.49720650911331177
Iter 145: MSE - 0.49702462553977966
Iter 146: MSE - 0.5011378526687622
Iter 147: MSE - 0.49617618322372437
Iter 148: MSE - 0.4994019567966461
Iter 149: MSE - 0.4917154908180237
Iter 150: MSE - 0.5052054524421692
Iter 151: MSE - 0.5029159784317017
Iter 152: MSE - 0.4961338937282562
Iter 153: MSE - 0.4894566833972931
Iter 154: MSE - 0.500390350818634
Iter 155: MSE - 0.49354565143585205
Iter 156: MSE - 0.5018081665039062
Iter 157: MSE - 0.49214547872543335
Iter 158: MSE - 0.4956379532814026
Iter 159: MSE - 0.49240973591804504
Iter 160: MSE - 0.4926871955394745
Iter 161: MSE - 0.49020129442214966
Iter 162: MSE - 0.498986154794693
Iter 163: MSE - 0.4969748854637146
Iter 164: MSE - 0.4928942024707794
Iter 165: MSE - 0.48807498812675476
Iter 166: MSE - 0.4923853576183319
Iter 167: MSE - 0.4900206923484802
Iter 168: MSE - 0.49364158511161804
Iter 169: MSE - 0.49220433831214905
Iter 170: MSE - 0.49000605940818787
Iter 171: MSE - 0.4996452033519745
Iter 172: MSE - 0.4937753975391388
Iter 173: MSE - 0.5041519999504089
Iter 174: MSE - 0.4949778616428375
Iter 175: MSE - 0.4997560977935791
Iter 176: MSE - 0.5008091926574707
Iter 177: MSE - 0.495460569858551
Iter 178: MSE - 0.49501174688339233
Iter 179: MSE - 0.498257040977478
Iter 180: MSE - 0.5013448596000671
Iter 181: MSE - 0.4994766414165497
Iter 182: MSE - 0.4987230896949768
Iter 183: MSE - 0.4875689744949341
Iter 184: MSE - 0.4917478859424591
Iter 185: MSE - 0.49215149879455566
Iter 186: MSE - 0.4961194694042206
Iter 187: MSE - 0.4916629493236542
Iter 188: MSE - 0.5000585913658142
Iter 189: MSE - 0.49975281953811646
Iter 190: MSE - 0.4972265958786011
Iter 191: MSE - 0.4933178722858429
Iter 192: MSE - 0.49225303530693054
Iter 193: MSE - 0.496594101190567
Iter 194: MSE - 0.4924164116382599
Iter 195: MSE - 0.4938686788082123
Iter 196: MSE - 0.487752228975296
Iter 197: MSE - 0.4926066994667053
Iter 198: MSE - 0.4956788718700409
Iter 199: MSE - 0.4938999116420746
Iter 200: MSE - 0.4959309697151184
Iter 201: MSE - 0.5051831007003784
Iter 202: MSE - 0.4991094768047333
Iter 203: MSE - 0.4936523735523224
Iter 204: MSE - 0.49967020750045776
Iter 205: MSE - 0.49298131465911865
Iter 206: MSE - 0.49818140268325806
Iter 207: MSE - 0.5015293955802917
Iter 208: MSE - 0.4966028332710266
Iter 209: MSE - 0.4991619884967804
Iter 210: MSE - 0.4906049072742462
Iter 211: MSE - 0.497018039226532
Iter 212: MSE - 0.4900493919849396
Iter 213: MSE - 0.48079487681388855
Iter 214: MSE - 0.49901971220970154
Iter 215: MSE - 0.49851348996162415
Iter 216: MSE - 0.4951089024543762
Iter 217: MSE - 0.4840126931667328
Iter 218: MSE - 0.5053030252456665
Iter 219: MSE - 0.49504539370536804
Iter 220: MSE - 0.5019779205322266
Iter 221: MSE - 0.49038612842559814
Iter 222: MSE - 0.49842163920402527
Iter 223: MSE - 0.4986908733844757
Iter 224: MSE - 0.49841347336769104
Iter 225: MSE - 0.49430835247039795
Iter 226: MSE - 0.4988643527030945
Iter 227: MSE - 0.49647364020347595
Iter 228: MSE - 0.492854505777359
Iter 229: MSE - 0.4951798915863037
Iter 230: MSE - 0.4998226761817932
Iter 231: MSE - 0.49943992495536804
Iter 232: MSE - 0.4917038679122925
Iter 233: MSE - 0.49257591366767883
Iter 234: MSE - 0.4973265826702118
Iter 235: MSE - 0.4881805181503296
Iter 236: MSE - 0.49633148312568665
Iter 237: MSE - 0.49395623803138733
Iter 238: MSE - 0.5070570111274719
Iter 239: MSE - 0.49574387073516846
Iter 240: MSE - 0.49501001834869385
Iter 241: MSE - 0.4962291121482849
Iter 242: MSE - 0.4937324821949005
Iter 243: MSE - 0.4921342730522156
Iter 244: MSE - 0.4914934039115906
Iter 245: MSE - 0.49697497487068176
Iter 246: MSE - 0.4976675808429718
Iter 247: MSE - 0.4917667806148529
Iter 248: MSE - 0.500433087348938
Iter 249: MSE - 0.4984603822231293
Iter 250: MSE - 0.4943714737892151
Iter 251: MSE - 0.49467140436172485
Iter 252: MSE - 0.4914981424808502
Iter 253: MSE - 0.5024850368499756
Iter 254: MSE - 0.4998346269130707
Iter 255: MSE - 0.49927306175231934
Iter 256: MSE - 0.4990312457084656
Iter 257: MSE - 0.48984581232070923
Iter 258: MSE - 0.4890906512737274
Validating Denoiser. Epoch: 0
Denoiser Model is saved at epoch 0
Training Denoiser. Epoch: 1
Iter 259: MSE - 0.4969051778316498
Iter 260: MSE - 0.5019577145576477
Iter 261: MSE - 0.4919598400592804
Iter 262: MSE - 0.4978161156177521
Iter 263: MSE - 0.5020189881324768
Iter 264: MSE - 0.49431154131889343
Iter 265: MSE - 0.4989476799964905
Iter 266: MSE - 0.49896150827407837
Iter 267: MSE - 0.49000126123428345
Iter 268: MSE - 0.49569007754325867
Iter 269: MSE - 0.49423080682754517
Iter 270: MSE - 0.4952486753463745
Iter 271: MSE - 0.49674350023269653
Iter 272: MSE - 0.49295344948768616
Iter 273: MSE - 0.4977915287017822
Iter 274: MSE - 0.5019457936286926
Iter 275: MSE - 0.4982832670211792
Iter 276: MSE - 0.5007386803627014
Iter 277: MSE - 0.4952896237373352
Iter 278: MSE - 0.4983813166618347
Iter 279: MSE - 0.49001601338386536
Iter 280: MSE - 0.49197351932525635
Iter 281: MSE - 0.5016157031059265
Iter 282: MSE - 0.4952718913555145
Iter 283: MSE - 0.5006386637687683
Iter 284: MSE - 0.4946841895580292
Iter 285: MSE - 0.4994528293609619
Iter 286: MSE - 0.49221915006637573
Iter 287: MSE - 0.4977574646472931
Iter 288: MSE - 0.4936232566833496
Iter 289: MSE - 0.4969247877597809
Iter 290: MSE - 0.49892860651016235
Iter 291: MSE - 0.5057377219200134
Iter 292: MSE - 0.4967884123325348
Iter 293: MSE - 0.48898249864578247
Iter 294: MSE - 0.4995057284832001
Iter 295: MSE - 0.49417856335639954
Iter 296: MSE - 0.49291589856147766
Iter 297: MSE - 0.4984683096408844
Iter 298: MSE - 0.4886523485183716
Iter 299: MSE - 0.4978019893169403
Iter 300: MSE - 0.49686816334724426
Iter 301: MSE - 0.49134641885757446
Iter 302: MSE - 0.49190056324005127
Iter 303: MSE - 0.48862192034721375
Iter 304: MSE - 0.4906383752822876
Iter 305: MSE - 0.4926283061504364
Iter 306: MSE - 0.49569815397262573
Iter 307: MSE - 0.5054488778114319
Iter 308: MSE - 0.4975648820400238
Iter 309: MSE - 0.49477702379226685
Iter 310: MSE - 0.4917188286781311
Iter 311: MSE - 0.4939718544483185
Iter 312: MSE - 0.4951825737953186
Iter 313: MSE - 0.495547354221344
Iter 314: MSE - 0.49521538615226746
Iter 315: MSE - 0.48835378885269165
Iter 316: MSE - 0.49544757604599
Iter 317: MSE - 0.49663567543029785
Iter 318: MSE - 0.4956583082675934
Iter 319: MSE - 0.4985140562057495
Iter 320: MSE - 0.4969484806060791
Iter 321: MSE - 0.5057802796363831
Iter 322: MSE - 0.4935767650604248
Iter 323: MSE - 0.49755850434303284
Iter 324: MSE - 0.5016275644302368
Iter 325: MSE - 0.49539193511009216
Iter 326: MSE - 0.49972155690193176
Iter 327: MSE - 0.4969162344932556
Iter 328: MSE - 0.4911884069442749
Iter 329: MSE - 0.4925127625465393
Iter 330: MSE - 0.49269747734069824
Iter 331: MSE - 0.4935704469680786
Iter 332: MSE - 0.4941839873790741
Iter 333: MSE - 0.5009033679962158
Iter 334: MSE - 0.4919598400592804
Iter 335: MSE - 0.48850786685943604
Iter 336: MSE - 0.4966268241405487
Iter 337: MSE - 0.5010613203048706
Iter 338: MSE - 0.4936801493167877
Iter 339: MSE - 0.4977700412273407
Iter 340: MSE - 0.4983067512512207
Iter 341: MSE - 0.49165451526641846
Iter 342: MSE - 0.49734970927238464
Iter 343: MSE - 0.49943649768829346
Iter 344: MSE - 0.4932730197906494
Iter 345: MSE - 0.4886856973171234
Iter 346: MSE - 0.5025267004966736
Iter 347: MSE - 0.49169400334358215
Iter 348: MSE - 0.5006182789802551
Iter 349: MSE - 0.5013332366943359
Iter 350: MSE - 0.4978976249694824
Iter 351: MSE - 0.49372172355651855
Iter 352: MSE - 0.4991144835948944
Iter 353: MSE - 0.4990712106227875
Iter 354: MSE - 0.49935877323150635
Iter 355: MSE - 0.4979761242866516
Iter 356: MSE - 0.4965853691101074
Iter 357: MSE - 0.4923400580883026
Iter 358: MSE - 0.5006092190742493
Iter 359: MSE - 0.49797430634498596
Iter 360: MSE - 0.4890258014202118
Iter 361: MSE - 0.49023348093032837
Iter 362: MSE - 0.5027655959129333
Iter 363: MSE - 0.49872344732284546
Iter 364: MSE - 0.49523505568504333
Iter 365: MSE - 0.494637668132782
Iter 366: MSE - 0.4990343153476715
Iter 367: MSE - 0.49790239334106445
Iter 368: MSE - 0.48978328704833984
Iter 369: MSE - 0.4946172535419464
Iter 370: MSE - 0.5006868243217468
Iter 371: MSE - 0.49574244022369385
Iter 372: MSE - 0.4977409243583679
Iter 373: MSE - 0.49667972326278687
Iter 374: MSE - 0.4985339045524597
Iter 375: MSE - 0.4978829026222229
Iter 376: MSE - 0.4841023087501526
Iter 377: MSE - 0.4969935119152069
Iter 378: MSE - 0.49606767296791077
Iter 379: MSE - 0.489957332611084
Iter 380: MSE - 0.4965854287147522
Iter 381: MSE - 0.4917033612728119
Iter 382: MSE - 0.49057215452194214
Iter 383: MSE - 0.48946845531463623
Iter 384: MSE - 0.4986763596534729
Iter 385: MSE - 0.507465660572052
Iter 386: MSE - 0.498405396938324
Iter 387: MSE - 0.4966590106487274
Iter 388: MSE - 0.4899258017539978
Iter 389: MSE - 0.5002948641777039
Iter 390: MSE - 0.49663111567497253
Iter 391: MSE - 0.4998522996902466
Iter 392: MSE - 0.49739038944244385
Iter 393: MSE - 0.5022623538970947
Iter 394: MSE - 0.49985772371292114
Iter 395: MSE - 0.4971437454223633
Iter 396: MSE - 0.4991912543773651
Iter 397: MSE - 0.4918871223926544
Iter 398: MSE - 0.49570804834365845
Iter 399: MSE - 0.5008206963539124
Iter 400: MSE - 0.4956163763999939
Iter 401: MSE - 0.49522849917411804
Iter 402: MSE - 0.498238742351532
Iter 403: MSE - 0.49501362442970276
Iter 404: MSE - 0.49392756819725037
Iter 405: MSE - 0.49870920181274414
Iter 406: MSE - 0.4959213435649872
Iter 407: MSE - 0.49354293942451477
Iter 408: MSE - 0.4923723042011261
Iter 409: MSE - 0.4896933138370514
Iter 410: MSE - 0.4935898780822754
